1,82
2,82
3,82
4,227
5,227
6,227
7,58
8,58
9,58
10,244
11,111
12,179
13,244
14,111
15,222
16,98
16,118
17,98
17,118
18,98
18,118
19,139
19,61
20,139
20,61
21,98
22,98
23,13
23,111
24,13
24,111
25,103
26,103
27,94
28,94
29,133
29,131
30,133
30,131
31,133
31,131
32,133
32,131
33,133
33,131
34,133
34,131
35,225
35,212
36,225
36,212
37,230
38,230
39,225
39,36
40,225
40,36
41,102
42,102
43,236
44,236
45,236
46,201
46,42
47,201
47,42
48,179
48,19
49,244
49,19
50,94
50,11
51,94
51,11
52,228
52,121
53,74
53,121
54,72
54,145
55,72
55,145
56,231
56,14
57,231
57,14
58,13
58,230
59,13
59,230
60,119
60,72
61,119
61,72
62,119
62,72
63,81
63,102
64,81
64,102
65,81
65,102
66,61
66,144
67,61
67,144
68,61
68,144
69,236
70,236
71,236
72,57
72,197
73,57
73,197
74,15
74,40
75,15
75,40
76,15
76,40
77,139
77,230
78,139
78,230
79,136
79,208
80,136
80,208
81,79
81,40
82,79
82,40
83,98
83,102
84,139
84,159
85,139
85,159
86,5
86,21
87,5
87,21
88,4
88,143
89,4
89,143
90,68
90,87
91,68
91,87
92,187
93,187
94,147
95,15
95,40
96,186
96,238
97,186
97,238
98,30
98,68
99,30
99,68
100,200
100,103
101,200
101,103
102,236
103,236
104,15
104,172
105,15
105,172
106,74
106,90
107,98
107,122
108,208
108,136
109,187
109,31
110,187
110,31
111,172
111,15
112,172
112,15
113,71
113,130
114,236
114,242
115,159
115,47
116,84
116,91
117,133
117,91
118,84
118,218
119,84
119,218
120,154
120,71
121,154
121,71
122,200
122,175
123,222
123,121
124,136
124,238
125,103
126,205
127,30
127,35
128,13
128,14
129,84
130,13
131,119
131,68
132,74
133,139
133,120
134,119
135,117
136,230
137,135
137,110
138,84
138,68
139,84
139,68
140,84
140,37
141,84
141,37
142,15
142,194
143,226
143,5
144,194
145,194
146,194
147,111
148,111
149,102
150,194
151,81
