1,4
1,8
2,4
2,8
3,4
3,8
4,2
5,2
6,2
6,10
7,3
8,3
9,3
10,12
11,12
12,12
12,10
13,12
13,8
14,12
14,8
15,12
15,8
16,1
16,10
17,1
17,10
18,1
18,10
19,1
20,1
21,1
21,10
22,1
22,10
23,8
24,8
25,5
26,5
27,9
28,9
29,8
30,8
31,8
31,9
32,8
33,8
34,8
34,9
35,18
36,18
37,2
38,2
39,1
39,18
40,1
40,18
41,8
41,10
42,8
42,10
43,4
43,8
44,4
44,8
45,4
45,8
46,12
46,4
47,12
47,4
48,12
48,8
49,12
49,8
50,9
51,9
52,1
53,1
54,3
55,3
56,7
57,7
58,2
59,2
60,3
61,3
62,3
62,7
63,11
64,11
65,11
66,7
67,7
68,7
69,4
69,8
70,4
70,8
71,4
71,8
72,3
72,8
73,3
73,8
74,13
74,9
75,13
75,9
76,13
76,9
77,2
78,2
79,3
79,11
80,3
80,11
81,5
81,17
82,5
82,17
83,1
83,10
84,1
84,10
85,1
85,10
86,3
87,3
87,6
88,8
89,8
90,3
91,3
91,6
92,14
92,8
93,14
93,8
94,14
94,8
95,13
95,9
96,11
97,11
98,3
99,3
100,5
101,5
102,4
102,11
103,4
103,11
104,9
105,9
106,7
107,7
108,1
109,8
110,8
111,9
111,13
112,9
112,13
113,1
114,4
115,1
116,3
117,3
118,3
119,3
120,3
121,3
121,11
122,11
122,18
123,12
123,10
124,6
124,11
125,5
126,2
127,12
128,1
129,3
130,3
130,10
131,3
131,6
132,1
133,1
134,3
135,5
136,2
137,1
138,13
138,3
139,13
139,3
140,13
140,3
141,13
141,3
142,13
142,10
143,1
144,6
144,10
145,5
145,10
146,2
146,10
147,15
148,15
149,15
149,10
150,11
151,11
